"CODIGO TEG+";"DESCRICAO TEG+";"USO (registros)";"ONDE";"ACAO";"CODIGO NOVO (RM)";"DESCRICAO NOVA";"CONFERIR";"OBS"
"CLS-02.06.07";"IPVA";"0";"";"DESATIVAR";"2.03.020";"IPVA";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.06.08";"Licenciamentos / Detran";"0";"";"DESATIVAR";"2.03.035";"LICENCIAMENTO";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.06.09";"Multas de Trânsito";"0";"";"DESATIVAR";"2.12.006";"MULTAS/TRÂNSITO";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.07.01";"Locação de Equipamentos";"0";"";"DESATIVAR";"2.03.016";"LOCAÇÃO EQUIPAMENTOS";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.07.02";"Aquisição de Equipamentos";"55";"est_itens:46, fin_cp:6, cmp_requisicoes:1, cmp_req_itens:1, cmp_pedidos:1";"REMAPEAR";"2.08.035";"AQUISIÇÃO DE EQUIPAMENTOS";"";""
"CLS-02.08.01";"Energia Elétrica (Operacional)";"0";"";"DESATIVAR";"2.03.010";"ENERGIA - OP";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.08.02";"Água / Saneamento / Esgoto (Operacional)";"0";"";"DESATIVAR";"2.03.009";"AGUA - OP";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.08.03";"Seguros Obras";"0";"";"DESATIVAR";"2.03.006";"SEGUROS OBRAS";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.09.01";"Serviços de Terceiros Contratados";"12";"est_itens:7, con_solicitacoes:5 (por descrição)";"REMAPEAR";"2.03.030";"SERVIÇOS TERCEIROS";"";""
"CLS-02.09.02";"PJ - Serviços de Terceiros";"147";"est_itens:146, con_solicitacoes:1 (por descrição)";"REMAPEAR";"2.03.030";"SERVIÇOS TERCEIROS";"";""
"CLS-02.09.03";"Exames Médicos / Laudos Técnicos";"0";"";"DESATIVAR";"2.01.013";"EXAMES MEDICOS / LAUDOS TECNICOS";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.09.04";"Uniformes";"0";"";"DESATIVAR";"2.01.019";"UNIFORMES";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-02.10.01";"Depreciação";"0";"";"EXTENSÃO (recodifica)";"2.03.901";"Depreciação (extensão TEG+)";"SIM";"Conceito de competência mantido fora do plano RM"
"CLS-02.10.02";"(-) Recuperação de Despesas (CSP)";"0";"";"EXTENSÃO (recodifica)";"1.04.901";"(-) Recuperação de Despesas (CSP) (extensão TEG+)";"SIM";"Conceito de competência mantido fora do plano RM"
"CLS-02.10.03";"(-) PIS sobre Compras";"1";"con_solicitacoes:1 (por descrição)";"EXTENSÃO (recodifica)";"2.09.901";"(-) PIS sobre Compras (extensão TEG+)";"";"Conceito de competência mantido fora do plano RM"
"CLS-02.10.04";"(-) COFINS sobre Compras";"0";"";"EXTENSÃO (recodifica)";"2.09.902";"(-) COFINS sobre Compras (extensão TEG+)";"";"Conceito de competência mantido fora do plano RM"
"CLS-03.01.01";"Honorários Contábeis";"0";"";"DESATIVAR";"2.03.001";"HONORÁRIOS CONTABEIS";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.01.02";"Honorários Advocatícios";"1";"est_itens:1";"REMAPEAR";"2.03.002";"HONORÁRIOS ADVOCATICIOS";"";""
"CLS-03.01.03";"Assessoria e Consultoria";"6";"est_itens:4, con_solicitacoes:2 (por descrição)";"REMAPEAR";"2.03.030";"SERVIÇOS TERCEIROS";"SIM";""
"CLS-03.02.01";"Aluguel (Administrativo)";"0";"";"DESATIVAR";"2.03.031";"ALUGUEL - ADM E OPERACIONAL";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.02.02";"Energia Elétrica (Administrativo)";"0";"";"DESATIVAR";"2.03.011";"ENERGIA - ADM";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.02.03";"Água e Esgoto (Administrativo)";"0";"";"DESATIVAR";"2.03.012";"AGUA - ADM";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.02.04";"Internet";"0";"";"DESATIVAR";"2.03.024";"INTERNET";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.02.05";"Telefonia";"0";"";"DESATIVAR";"2.03.025";"TELEFONIA";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.02.06";"Monitoramento / Alarme";"0";"";"DESATIVAR";"2.03.026";"MONITORAMENTO / ALARME";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.02.07";"Manutenção e Conservação";"2";"est_itens:2";"REMAPEAR";"2.03.018";"MANUTENÇÃO MAQ EQUIPAMENTOS";"SIM";""
"CLS-03.03.01";"Material de Escritório";"60";"est_itens:54, cmp_req_itens:2, cmp_requisicoes:2, fin_cp:1, cmp_pedidos:1";"REMAPEAR";"2.03.005";"MATERIAL DE ESCRITORIO";"";""
"CLS-03.03.02";"Material de Expediente";"0";"";"DESATIVAR";"2.03.005";"MATERIAL DE ESCRITORIO";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.03.03";"Material Copa e Cozinha";"0";"";"DESATIVAR";"2.03.004";"MATERIAL COPA E COZINHA";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.03.04";"Material de Higiene / Limpeza";"59";"est_itens:54, cmp_requisicoes:2, cmp_req_itens:1, fin_cp:1, cmp_pedidos:1";"REMAPEAR";"2.03.003";"INSUMOS / MATERIAIS";"SIM";""
"CLS-03.03.05";"Material de Uso e Consumo";"297";"est_itens:285, cmp_req_itens:4, cmp_requisicoes:4, fin_cp:2, cmp_pedidos:2";"REMAPEAR";"2.03.003";"INSUMOS / MATERIAIS";"";""
"CLS-03.03.06";"Bens de Pequeno Valor (Administrativo)";"0";"";"DESATIVAR";"2.08.035";"AQUISIÇÃO DE EQUIPAMENTOS";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.04.01";"Combustível e Lubrificantes (Administrativo)";"0";"";"DESATIVAR";"2.03.014";"COMBUSTIVEL/LUBRIFICANTES";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.04.02";"Manutenção de Veículos (Administrativo)";"0";"";"DESATIVAR";"2.03.017";"MANUTENÇÃO VEICULOS";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.04.03";"Frete / Carretos / Deslocamentos";"0";"";"DESATIVAR";"2.03.022";"TRANSPORTES/TRANSLADO";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.04.04";"Despesas c/ Pedágio (Administrativo)";"0";"";"DESATIVAR";"2.03.021";"PEDÁGIO";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.04.05";"Fretes / Estacionamento";"0";"";"DESATIVAR";"2.07.001";"ESTACIONAMENTO";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.05.01";"Seguros Veículos";"0";"";"DESATIVAR";"2.03.007";"SEGUROS VEICULOS";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.05.02";"Seguros Escritório";"0";"";"DESATIVAR";"2.03.008";"SEGUROS ESCRITORIO";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.05.03";"Seguros (Geral)";"0";"";"DESATIVAR";"2.03.008";"SEGUROS ESCRITORIO";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.06.01";"Software / Sistemas";"8";"est_itens:3, fin_cp:2, con_contratos:1, cmp_req_itens:1, cmp_requisicoes:1";"REMAPEAR";"2.03.027";"SOFTWARE / SISTEMAS";"";""
"CLS-03.06.02";"Sistema TOTVS";"0";"";"DESATIVAR";"2.03.028";"SISTEMA TOTVS";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.06.03";"Informática / Sistemas e Software";"66";"est_itens:54, cmp_requisicoes:5, cmp_req_itens:5, fin_cp:1, cmp_pedidos:1";"REMAPEAR";"2.03.032";"MATERIAL DE INFORMÁTICA";"SIM";""
"CLS-03.06.04";"Aquisição Equipamentos TI";"28";"est_itens:24, cmp_req_itens:2, cmp_requisicoes:2";"REMAPEAR";"2.03.032";"MATERIAL DE INFORMÁTICA";"";""
"CLS-03.07.01";"Taxas e Contribuições";"0";"";"DESATIVAR";"2.03.029";"TAXAS E CONTRIBUIÇÕES";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.07.02";"Despesas com CREA";"0";"";"DESATIVAR";"2.03.036";"ART";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.07.03";"Mensalidade Associativa";"0";"";"DESATIVAR";"2.03.029";"TAXAS E CONTRIBUIÇÕES";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.07.04";"Custas Cartoriais e Processos";"0";"";"DESATIVAR";"2.12.001";"CUSTAS JUDICIAIS";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.07.05";"Custas Cartoriais";"0";"";"DESATIVAR";"2.12.001";"CUSTAS JUDICIAIS";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.07.06";"Taxas Municipais";"0";"";"DESATIVAR";"2.03.029";"TAXAS E CONTRIBUIÇÕES";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.07.07";"Taxas Estaduais - DAEMS";"0";"";"DESATIVAR";"2.03.029";"TAXAS E CONTRIBUIÇÕES";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.07.08";"IPTU";"0";"";"DESATIVAR";"2.03.033";"IPTU";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-03.08.01";"Publicidade e Propaganda";"0";"";"DESATIVAR";"2.01.002";"MARKETING/PROPAGANDA";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-04.01.01";"Pró-labore";"0";"";"DESATIVAR";"2.01.023";"PRO-LABORE";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-04.01.02";"Férias (Administrativo)";"0";"";"DESATIVAR";"2.01.014";"FÉRIAS E 1/3 SOBRE FÉRIAS";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-04.01.03";"13º Salário (Administrativo)";"0";"";"DESATIVAR";"2.01.008";"13º SALÁRIO";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-04.01.04";"Indenização e Aviso Prévio";"0";"";"DESATIVAR";"2.01.010";"RESCISÕES";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-04.02.01";"Contribuição Previdenciária (Administrativo)";"0";"";"DESATIVAR";"2.02.001";"INSS FOPAG -1138";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-04.02.02";"FGTS (Administrativo)";"0";"";"DESATIVAR";"2.02.008";"FGTS - FOPAG";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-04.02.03";"GRRF sobre Rescisão Salarial";"0";"";"DESATIVAR";"2.02.004";"GRRF - RESCISÃO";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-04.03.01";"Alimentação / Restaurante (Administrativo)";"0";"";"DESATIVAR";"2.01.004";"LANCHES/REFEIÇÕES";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-04.03.02";"Vale Alimentação (Administrativo)";"0";"";"DESATIVAR";"2.01.007";"CONVÊNIOS/BENEFICIOS";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-04.03.03";"Vale Transporte (Administrativo)";"0";"";"DESATIVAR";"2.01.016";"VALE TRANSPORTE";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-04.03.04";"Exames Médicos (Administrativo)";"0";"";"DESATIVAR";"2.01.013";"EXAMES MEDICOS / LAUDOS TECNICOS";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-04.04.01";"Provisão p/ Encargos s/ Férias e 1/3 Férias";"0";"";"EXTENSÃO (recodifica)";"2.01.901";"Provisão p/ Encargos s/ Férias e 1/3 Férias (extensão TEG+)";"";"Conceito de competência mantido fora do plano RM"
"CLS-04.04.02";"Provisão p/ Encargos s/ 13º Salário";"0";"";"EXTENSÃO (recodifica)";"2.01.902";"Provisão p/ Encargos s/ 13º Salário (extensão TEG+)";"";"Conceito de competência mantido fora do plano RM"
"CLS-04.04.03";"Provisão 13º Salário";"0";"";"EXTENSÃO (recodifica)";"2.01.903";"Provisão 13º Salário (extensão TEG+)";"";"Conceito de competência mantido fora do plano RM"
"CLS-04.04.04";"Provisão Férias e 1/3 s/ Férias";"0";"";"EXTENSÃO (recodifica)";"2.01.904";"Provisão Férias e 1/3 s/ Férias (extensão TEG+)";"";"Conceito de competência mantido fora do plano RM"
"CLS-04.05.01";"(-) Recuperação de Despesas (Pessoal)";"0";"";"EXTENSÃO (recodifica)";"1.04.902";"(-) Recuperação de Despesas (Pessoal) (extensão TEG+)";"SIM";"Conceito de competência mantido fora do plano RM"
"CLS-04.05.02";"Multas Federais - DARF";"0";"";"DESATIVAR";"2.12.005";"MULTAS/ CONTRATUAL";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-04.05.03";"Acordo Trabalhista / Ações Judiciais";"0";"";"DESATIVAR";"2.12.009";"INDENIZACOES";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-05.01.01";"PIS sobre Faturamento";"0";"";"DESATIVAR";"2.09.001";"PIS S/ FATURAMENTO";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-05.01.02";"COFINS sobre Faturamento";"0";"";"DESATIVAR";"2.09.002";"COFINS S/ FATURAMENTO";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-05.01.03";"ISS";"0";"";"DESATIVAR";"2.09.009";"ISS RETIDO";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-05.01.04";"PIS";"0";"";"DESATIVAR";"2.09.010";"PIS RETIDO";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-05.01.05";"ISS / INSS / IRRF Retido";"0";"";"DESATIVAR";"2.09.008";"IRRF RETIDO";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-05.01.06";"ICMS - Difal";"0";"";"DESATIVAR";"2.09.005";"ICMS - DIFAL";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-05.02.01";"IRPJ / CSLL - Lucro (Trimestral)";"0";"";"DESATIVAR";"2.09.006";"IRPJ - LUCRO - 3373";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-05.02.02";"Contribuição Social s/ Lucro (CSLL)";"0";"";"DESATIVAR";"2.09.003";"CSLL - LUCRO - 6012";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-05.02.03";"Imposto de Renda s/ Lucro (IRPJ)";"0";"";"DESATIVAR";"2.09.006";"IRPJ - LUCRO - 3373";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-05.02.04";"CSLL Retido - Trimestral";"0";"";"DESATIVAR";"2.09.004";"CSLL RETIDO";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-05.02.05";"IRPJ Retido - Trimestral";"0";"";"DESATIVAR";"2.09.008";"IRRF RETIDO";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-06.01.01";"Juros Ativos";"0";"";"DESATIVAR";"1.02.001";"RECEITA APLICAÇÃO FINANCEIRA";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-06.01.02";"Descontos Recebidos";"0";"";"DESATIVAR";"1.04.001";"DESCONTOS RECEBIDOS";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-06.02.01";"Juros Passivos";"0";"";"DESATIVAR";"2.12.003";"JUROS";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-06.02.02";"Juros Rotativo";"0";"";"DESATIVAR";"2.12.008";"JUROS CREDITO ROTATIVO";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-06.02.03";"Juros / Multas";"0";"";"DESATIVAR";"2.12.003";"JUROS";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-06.02.04";"Despesas Expediente Bancário";"0";"";"DESATIVAR";"2.12.002";"TARIFAS";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-06.02.05";"Tarifas / IOF";"0";"";"DESATIVAR";"2.12.002";"TARIFAS";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-06.02.06";"Encargos s/ Empréstimos e Financiamentos";"0";"";"DESATIVAR";"2.12.003";"JUROS";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-06.02.07";"Despesas Financeiras (Outras)";"0";"";"DESATIVAR";"2.12.002";"TARIFAS";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-06.03.01";"Cartão Corporativo";"0";"";"DESATIVAR";"2.12.007";"CREDITO ROTATIVO";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-06.03.02";"Cartão de Crédito";"0";"";"DESATIVAR";"2.12.007";"CREDITO ROTATIVO";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-06.03.03";"Brindes / Confraternização";"0";"";"DESATIVAR";"2.05.001";"BRINDES";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-06.03.04";"Custas Judiciais";"0";"";"DESATIVAR";"2.12.001";"CUSTAS JUDICIAIS";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-06.03.05";"Histórico Financeiro";"0";"";"DESATIVAR";"2.03.019";"HISTÓRICO FINANCEIRO";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-06.03.06";"Rateio / Repasses - Adto Viagens";"0";"";"DESATIVAR";"2.01.018";"RATEIO/REPASSES (PENDENTES)";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-06.03.07";"Viagens / Estadas";"0";"";"DESATIVAR";"2.01.015";"HOSPEDAGEM";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-06.03.08";"Refeições e Lanches (Administrativo)";"0";"";"DESATIVAR";"2.01.004";"LANCHES/REFEIÇÕES";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-06.03.09";"(-) Estorno / Devoluções";"1";"con_solicitacoes:1 (por descrição)";"REMAPEAR";"1.02.002";"ESTORNO/DEVOLUÇÕES";"";""
"CLS-07.01.01";"Outras Receitas do Período";"0";"";"DESATIVAR";"1.04.003";"REEMBOLSOS";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-07.01.02";"Bonificação, Doação ou Brinde";"0";"";"DESATIVAR";"1.04.003";"REEMBOLSOS";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-08.01.01";"Amortização de Empréstimos";"0";"";"DESATIVAR";"2.06.001";"CAPITAL GIRO - SICREDI C50631003";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-08.01.02";"Consórcios e Parcelamentos";"0";"";"DESATIVAR";"2.08.018";"CONSORCIO SICREDI GRUPO 050125 COTA 0635 CONTRATO 1194623";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-09.01.01";"Dividendos";"0";"";"DESATIVAR";"2.10.002";"DIVIDENDO";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-09.01.02";"Antecipação Resultado Sócio";"0";"";"DESATIVAR";"2.04.003";"OUTROS";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-09.01.03";"Integralização Capital Social";"0";"";"DESATIVAR";"2.10.003";"INTEGRALIZAÇÃO DO CAPITAL";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-09.01.04";"Devolução Aporte";"0";"";"DESATIVAR";"2.10.001";"DEVOLUÇÃO APORTES SOCIO";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-09.02.01";"Aquisição de Veículos";"0";"";"DESATIVAR";"2.08.003";"AQUISIÇÃO BENS (VEICULOS) C308226875";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-09.02.02";"Aquisição de Máquinas e Tratores";"0";"";"DESATIVAR";"2.08.007";"FINAME RETROESCAVADEIRA C406352743";"SIM";"Sem uso — desativa; equivalente RM informativo"
"CLS-09.02.03";"Aquisição de Aeronave";"0";"";"DESATIVAR";"2.08.015";"AERONAVE";"";"Sem uso — desativa; equivalente RM informativo"
"CLS-09.02.04";"Outros Investimentos";"0";"";"DESATIVAR";"2.08.048";"IMOBILIZADO";"SIM";"Sem uso — desativa; equivalente RM informativo"
